Altium Designer Pick and Place Locations
D:\PCB design\Udemy_Learn_to_Design_Your_Own_Boards_2020-4.part1_Downloadly.ir\Atmega_board\Project Outputs for Atmega_board\Pick Place\Pick Place for PCB_Atmega_board(Fixed 5V).txt

========================================================================================================================
File Design Information:

Date:       13-05-21
Time:       22:17
Revision:   Not in VersionControl
Variant:    Fixed 5V
Units used: mm

Designator    Comment                  Layer    Footprint                     Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
SW1           1825910-6                TopLayer DIP4                          63.1952      28.3718      270      "6X6, H5,  160G TAC.SWITCH"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
D5            BAT54HT1G                TopLayer SOD323_DIODE                  1.0000       28.4000      270      "Small Signal Schottky Diode, Single, 30 V, 200 mA, 800 mV, 600 mA, 150 C ;RoHS Compliant: Yes"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Z2            CG0603MLC-05E            TopLayer R0603                         6.9000       18.7000      90       "VARISTOR 0603"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Z1            CG0603MLC-05E            TopLayer R0603                         7.1750       21.8000      270      "VARISTOR 0603"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Y2            ABM7-16.000MHZ-D2Y-T     TopLayer ABM7_V1_1_BIG                 25.2000      29.0000      90       "CRYSTAL 16.0000MHZ 18PF SMD"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Y1            ABM7-16.000MHZ-D2Y-T     TopLayer ABM7_V1_1_BIG                 43.4000      28.4000      360      "CRYSTAL 16.0000MHZ 18PF SMD"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
U7            SN74AHC1G09DBVR          TopLayer DBV_SOT_235                   21.9000      14.6000      360      "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U6            SN74AHC1G09DBVR          TopLayer DBV_SOT_235                   66.2000      15.6500      270      "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U5            SN74AHC1G09DBVR          TopLayer DBV_SOT_235                   6.0000       26.3000      90       "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U4            SN74AHC1G09DBVR          TopLayer DBV_SOT_235                   18.3000      43.1000      360      "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
U3            TL1963A-33DCQR           TopLayer DCQ_(R-PDSO-G6)               15.8000      14.5000      90       "IC REG LINEAR 3.3V 1.5A SOT223-6"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
U2            ATMEGA16U2-AU            TopLayer TQFP32                        15.4000      30.0000      180      "MICROCHIP - ATMEGA16U2-AU - MCU, 8BIT, MEGAAVR, 16MHZ, TQFP-32"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
U1            ATMEGA328-PU             TopLayer ATMEGA328P_DIP                45.5550      16.3830      270      "MCU 8-bit ATmega AVR RISC 32KB Flash 2.5V/3.3V/5V 28-Pin PDIP"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
SW2           1825910-6                TopLayer DIP4                          22.1000      4.4000       0        "6X6, H5,  160G TAC.SWITCH"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
"SOCK FOR U1" "28pin DIP"              TopLayer 28_DIP_7.62_MM_SOCKET         -444.1190    -444.7540    270      "CONN IC DIP SOCKET 28POS TIN"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
R27           0r                       TopLayer R0805                         33.1000      7.8000       270      "Surface Mount Thick Film Resistor, RC Series, 125 mW, - 5%, 150 V, 0805 [2012 Metric]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
R25           22r                      TopLayer R0805                         27.7000      8.7000       180      "RES SMD 22 OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R24           22r                      TopLayer R0805                         64.7000      22.9250      270      "RES SMD 22 OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R23           22r                      TopLayer R0805                         1.9000       25.6000      360      "RES SMD 22 OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
R22           560r                     TopLayer R0805                         25.3000      14.8000      90       "Surface Mount Thick Film Resistor, RC Series, 560 ohm, 125 mW, - 1%, 150 V, 0805 [2012 Metric]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
R21           10k                      TopLayer R0805                         27.1000      5.8000       270      "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
R20           10k                      TopLayer R0805                         66.7500      22.9000      270      "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
R19           10k                      TopLayer R0805                         2.7000       28.3000      90       "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
R18           10k                      TopLayer R0805                         66.7250      19.6000      90       "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
